Wall time,Step,Value
1754472323.3376043,3591,-86.17922973632812
1754472355.9524028,8064,-63.0418586730957
1754472372.6508493,10444,-72.85224151611328
1754472374.092443,10619,-74.21134948730469
1754472403.1490226,14560,-59.449180603027344
1754472420.361413,17115,-67.12997436523438
1754472425.194815,17780,-68.21467590332031
1754472449.3298192,21336,-62.229820251464844
1754472493.9314272,27601,-72.78022766113281
1754472504.6356032,29057,-76.52554321289062
1754472527.866415,32480,-76.8341064453125
1754472594.3152251,42224,-76.94589233398438
1754472612.5357494,44891,-79.1425552368164
1754472640.6717193,48958,-75.69508361816406
1754472685.0178032,55517,-73.01445770263672
1754472742.4363716,63833,-63.36279296875
1754472766.1826403,67340,-69.51272583007812
1754472786.6707265,70224,-74.3923110961914
1754472801.9684997,72401,-70.25228881835938
1754472828.0438058,76223,-64.90771484375
1754472861.6596603,81025,-68.24774932861328
1754472873.692259,82712,-69.39090728759766
1754472880.5411325,83748,-69.51205444335938
1754472913.5658777,88417,-69.33345794677734
1754472939.6076798,92134,-64.68730163574219
1754472945.7582095,93051,-61.922935485839844
1754472948.3162656,93408,-63.08872604370117
1754472966.720506,95991,-66.9771499633789
1754473013.2245781,102781,-79.52208709716797
1754473062.9455938,109872,-71.77396392822266
1754473069.8750982,110838,-77.2103500366211
1754473071.8782082,111167,-76.18991088867188
1754473088.3902175,113596,-75.84537506103516
1754473106.8057652,116298,-68.974853515625
1754473207.8729937,130508,-68.72351837158203
1754473221.047251,132377,-74.41686248779297
1754473253.9767587,136899,-76.18416595458984
1754473314.0967102,145355,-59.30962371826172
1754473323.864384,146713,-60.318241119384766
1754473346.0630815,149926,-72.73502349853516
1754473407.8765817,158802,-62.649620056152344
1754473470.393673,167622,-76.12350463867188
1754473489.3745556,170212,-77.58870697021484
1754473501.4799511,171913,-78.94436645507812
1754473512.8637745,173579,-66.44459533691406
1754473535.45738,176785,-75.75090789794922
1754473551.942346,179172,-67.92445373535156
1754473596.164305,185248,-78.11223602294922
1754473610.7431135,187257,-74.37570190429688
1754473617.8440287,188258,-67.4520492553711
1754473639.009314,191170,-59.736331939697266
1754473651.9541295,193116,-69.53694915771484
1754473662.8400776,194621,-69.21288299560547
1754473664.4550705,194929,-69.18441772460938
1754473673.0528672,196070,-73.44092559814453
1754473708.5486221,200865,-55.62635040283203
1754473745.9947412,205786,-63.73320388793945
1754473748.5195673,206087,-64.60010528564453
1754473752.8690543,206717,-66.59648895263672
1754473763.1041024,207984,-63.3315544128418
1754473766.7960675,208474,-63.96403121948242
1754473824.2438328,216405,-59.905704498291016
1754473844.3839219,219156,-59.227378845214844
1754473875.477261,223391,-56.2237434387207
1754473917.2924657,229061,-65.47762298583984
1754473956.7223778,234325,-52.03776550292969
1754473957.608019,234472,-51.5113639831543
1754473994.8859928,239575,-62.46055221557617
1754474012.484455,241948,-61.793792724609375
1754474015.3286486,242382,-62.74042892456055
1754474052.4551322,247282,-62.66688919067383
1754474055.2132342,247681,-62.13344955444336
1754474069.8387523,249662,-59.9949951171875
1754474101.8669796,254037,-63.627811431884766
1754474132.6288552,258146,-50.2626838684082
1754474140.5814843,259245,-51.301429748535156
1754474177.216292,264110,-60.97282028198242
1754474193.9188929,266357,-64.00996398925781
1754474211.5891578,268779,-67.6249771118164
1754474213.5410624,269024,-66.1955337524414
1754474221.4091492,270158,-63.68251037597656
1754474288.8976188,279370,-53.5550537109375
1754474360.0594661,288953,-53.987770080566406
1754474372.51348,290682,-55.682098388671875
1754474411.6266022,295890,-58.33961868286133
1754474421.4266355,297227,-55.13092041015625
1754474452.812445,301455,-59.60376739501953
1754474474.161347,304388,-68.1871337890625
1754474475.317667,304514,-70.21446228027344
1754474494.2236109,307104,-67.26866149902344
1754474587.8355665,319634,-62.31366729736328
1754474596.9809103,320915,-56.74891662597656
1754474606.4449718,322161,-57.31658935546875
1754474616.9202056,323561,-55.630950927734375
1754474725.942668,338380,-60.715354919433594
1754474837.1366,353325,-59.69416427612305
1754474876.0495415,358659,-58.14243698120117
1754474910.180717,363223,-55.820220947265625
1754474951.9194458,368851,-58.09569549560547
1754474956.7838454,369481,-55.25703048706055
1754474969.0313756,371105,-56.031585693359375
1754474977.186673,372183,-63.739654541015625
1754474980.4254582,372645,-67.8840560913086
1754475000.0249436,375249,-62.242637634277344
1754475017.5106359,377636,-62.50584411621094
1754475033.2968216,379778,-61.85114288330078
1754475045.8424592,381444,-67.26072692871094
1754475090.7657046,387492,-56.62820053100586
1754475091.745186,387653,-55.732147216796875
1754475113.9812033,390642,-63.810176849365234
1754475142.4626017,394492,-61.97758483886719
1754475149.7949154,395493,-56.536067962646484
1754475158.0956166,396599,-58.93110656738281
1754475201.0096846,402297,-63.529144287109375
1754475209.2287688,403466,-64.1990737915039
1754475223.9579742,405391,-59.067527770996094
1754475231.9746473,406469,-53.028167724609375
1754475249.1240134,408772,-54.4676399230957
1754475255.2690058,409507,-56.32184600830078
1754475267.8372805,411173,-51.58536911010742
1754475269.224908,411341,-52.19658279418945
1754475269.855864,411432,-52.36918640136719
1754475282.1434245,413077,-52.82762908935547
1754475300.6409488,415534,-55.44557189941406
1754475326.5105908,419055,-54.28606033325195
1754475349.448799,422121,-58.297237396240234
1754475358.6169088,423360,-59.38069152832031
1754475373.960616,425411,-47.31389236450195
1754475473.9006457,438375,-56.5055046081543
1754475485.1934083,439810,-60.7480583190918
1754475546.0326328,448140,-57.41493225097656
1754475594.1313262,454615,-62.3315315246582
1754475595.2636406,454713,-64.38005065917969
1754475614.284709,457149,-57.484527587890625
1754475615.0997205,457275,-57.73407745361328
1754475630.533412,459284,-61.272544860839844
1754475654.9694223,462532,-53.911319732666016
1754475700.1290317,468510,-53.52277374267578
1754475707.839796,469546,-55.37340545654297
1754475725.9930527,471933,-54.246246337890625
1754475749.7836728,475125,-55.49607467651367
1754475775.80861,478632,-67.97988891601562
1754475778.2625284,478933,-67.52613067626953
1754475815.1344652,483812,-49.616127014160156
1754475864.8802936,490371,-47.16218185424805
1754475911.6238062,496538,-57.330440521240234
1754475968.5728936,504140,-55.78986740112305
1754475989.5309935,506870,-58.3040657043457
1754475997.577949,507962,-58.91193389892578
1754476007.2091496,509313,-64.45001983642578
1754476033.2117493,512743,-54.164371490478516
1754476073.3425107,518000,-52.8859977722168
1754476075.792469,518329,-54.1572380065918
1754476105.9472413,522361,-64.18943786621094
1754476121.431694,524524,-61.661373138427734
1754476158.9380994,529410,-64.91211700439453
1754476161.9748402,529851,-61.02373504638672
1754476165.6048172,530306,-60.52344512939453
1754476173.5076337,531370,-59.93398666381836
1754476176.5202696,531797,-61.963600158691406
1754476194.293868,534226,-61.58372116088867
1754476215.1403778,537110,-52.49429702758789
1754476263.2279088,543550,-61.655818939208984
1754476284.3606706,546343,-64.37247467041016
1754476348.363752,554820,-46.83870315551758
1754476350.424822,555156,-46.689788818359375
1754476400.8004227,561827,-56.11905288696289
1754476413.0927765,563381,-54.285518646240234
1754476418.5262337,564116,-48.93480682373047
1754476430.869861,565740,-54.13254928588867
1754476433.5945737,566139,-55.822044372558594
1754476470.8007042,571053,-50.77227783203125
1754476506.9841316,575792,-52.08513641357422
1754476508.1935563,576002,-51.79474639892578
1754476518.1430798,577276,-54.662513732910156
1754476529.8593874,578851,-55.374961853027344
1754476536.5027733,579677,-58.3194465637207
1754476544.1926224,580706,-57.45647430419922
1754476581.1628726,585557,-49.77370071411133
1754476605.2499194,588777,-51.72694778442383
1754476617.1593575,590422,-50.03024673461914
1754476619.619953,590779,-50.47564697265625
1754476641.9300265,593726,-51.57283401489258
1754476677.660323,598374,-57.03025817871094
1754476688.2029521,599809,-55.70619583129883
1754476722.0926383,604366,-54.6055908203125
1754476750.7028189,608132,-54.2586669921875
1754476807.4010496,615573,-48.424285888671875
1754476816.943959,616805,-50.376739501953125
1754476931.077157,632086,-49.699119567871094
1754476940.795209,633290,-47.024845123291016
1754477019.3381302,643769,-49.4439582824707
1754477022.8556597,644294,-48.701534271240234
1754477046.8669212,647409,-50.24195098876953
1754477093.6429791,653499,-43.26343536376953
1754477129.2579381,658210,-48.54745101928711
1754477167.071401,663047,-51.62796401977539
1754477169.3455954,663320,-52.00065612792969
1754477175.206265,664104,-56.187591552734375
1754477183.7486734,665154,-55.77265548706055
1754477205.6763558,668087,-53.68228530883789
1754477252.9104512,674436,-54.3016242980957
1754477308.2496364,681653,-57.727230072021484
1754477311.5447896,682073,-59.47697830200195
1754477313.03882,682220,-59.61643981933594
1754477320.3187912,683200,-61.481956481933594
1754477357.8195662,688058,-50.95064163208008
1754477384.4820757,691516,-49.79969787597656
1754477402.2281706,693833,-53.21184539794922
1754477420.8672805,696234,-47.04869842529297
1754477450.9489076,700280,-50.24840545654297
1754477544.0504444,712460,-48.2745361328125
1754477552.3479629,713566,-46.40650177001953
1754477554.4071329,713846,-47.070682525634766
1754477594.091728,719054,-46.901180267333984
1754477597.3270643,719495,-46.43874740600586
1754477612.7525764,721511,-48.07490921020508
1754477615.858243,721924,-53.12250900268555
1754477616.5964148,722043,-51.73250198364258
1754477647.9546468,726215,-56.88570785522461
1754477660.957616,728000,-51.05155563354492
1754477685.3534677,731199,-51.687049865722656
1754477699.4765816,733047,-56.619415283203125
1754477715.2300634,735189,-57.084442138671875
1754477723.7762108,736295,-52.63547134399414
1754477726.5163214,736666,-50.13037109375
1754477755.5882583,740369,-49.93428421020508
1754477778.144965,743302,-52.612308502197266
1754477780.9562595,743694,-49.53794860839844
1754477820.1226614,748860,-51.90024948120117
1754477827.7021337,749819,-48.23153305053711
1754477859.713817,753942,-46.86689376831055
1754477900.5575495,759416,-53.0880126953125
1754477909.5133657,760641,-54.610992431640625
1754477913.661677,761145,-55.99386978149414
1754477962.4903665,767676,-48.356101989746094
1754478118.9769044,788319,-49.56828308105469
1754478179.8998475,796446,-54.29568862915039
1754478207.053162,800051,-47.46293258666992
1754478229.3263958,802879,-46.404212951660156
1754478279.2700777,809431,-44.60040283203125
1754478312.5478375,813715,-51.24103546142578
1754478324.9732296,815283,-46.60822677612305
1754478392.2044601,824222,-43.853538513183594
1754478399.5269008,825132,-44.13283157348633
1754478423.8174372,828275,-43.03322219848633
1754478439.2970624,830361,-46.85532760620117
1754478451.4205596,831985,-47.2375373840332
1754478494.627687,837599,-46.94700622558594
1754478548.8615184,844683,-51.90940475463867
1754478570.2840204,847602,-50.99239730834961
1754478575.3553824,848246,-50.56779861450195
1754478579.8316233,848841,-49.84191131591797
1754478658.836853,858984,-45.78852081298828
1754478675.3929899,861203,-47.954952239990234
