Wall time,Step,Value
1754398174.7052748,17241,60.68553924560547
1754398258.1687613,29981,48.261287689208984
1754398295.5370262,35483,44.89986038208008
1754398300.0191295,36148,44.348384857177734
1754398319.5056593,38969,42.28626251220703
1754398367.1868536,46109,39.76361846923828
1754398402.701567,51198,37.45738220214844
1754398414.816054,53025,37.149837493896484
1754398472.0354047,61635,34.15601348876953
1754398477.7371676,62524,34.00148391723633
1754398556.2271461,74424,30.894193649291992
1754398567.5063975,75992,30.14556121826172
1754398596.9024565,80584,29.80365562438965
1754398754.362955,104944,24.126859664916992
1754398793.115545,110838,23.263017654418945
1754398795.041163,111076,23.59760856628418
1754398888.038714,125377,21.971466064453125
1754398896.0232978,126700,21.631427764892578
1754398974.10938,138488,20.9525089263916
1754398980.7085824,139419,20.633060455322266
1754399052.6044953,150353,20.340131759643555
1754399081.8854015,154861,20.407634735107422
1754399107.043921,158592,20.448488235473633
1754399134.8636434,162939,19.782066345214844
1754399190.6904876,171570,19.710813522338867
1754399227.3058574,177317,20.116304397583008
1754399278.0686703,184975,20.085145950317383
1754399279.7054763,185241,20.12965965270996
1754399305.274501,189259,19.856966018676758
1754399341.2219613,194726,20.665979385375977
1754399374.1090841,199710,20.40239715576172
1754399385.585934,201425,20.45916175842285
1754399387.5250728,201726,20.722558975219727
1754399459.3221197,212744,20.857646942138672
1754399518.854672,221725,20.83676528930664
1754399530.5446696,223503,20.93229103088379
1754399574.7399645,230020,20.798538208007812
1754399589.3107991,232162,20.861249923706055
1754399669.5788703,244293,20.537893295288086
1754399755.190062,257229,19.305828094482422
1754399772.9521568,259903,19.650251388549805
1754399788.8539567,262276,19.726852416992188
1754399825.410657,267855,19.455181121826172
1754399980.041375,290661,18.184406280517578
1754399988.8494508,291977,17.684364318847656
1754400086.418089,306446,17.386112213134766
1754400112.3536894,310296,16.952457427978516
1754400128.876105,312676,17.072420120239258
1754400145.308429,315084,17.005395889282227
1754400250.1253583,330519,16.346832275390625
1754400314.4034455,340032,15.13067626953125
1754400336.8744721,343434,15.034955978393555
1754400530.8422344,372197,13.927168846130371
1754400674.1157253,393477,12.754911422729492
1754400687.0767353,395276,12.97415828704834
1754400730.738056,401569,12.967734336853027
1754400740.3766644,402962,13.0432767868042
1754400766.7057352,406889,12.351119041442871
1754400814.1494553,413791,12.85107421875
1754400851.9448512,419405,12.386710166931152
1754400919.0908232,429289,12.720922470092773
1754400945.3777318,433118,12.380953788757324
1754400984.4453886,438781,12.63117504119873
1754400999.7038782,441007,13.081924438476562
1754401049.5501504,448084,12.278048515319824
1754401052.056105,448406,12.486654281616211
1754401109.3222394,456575,12.383052825927734
1754401113.0412698,457107,12.040507316589355
1754401133.7808213,460082,12.080511093139648
1754401218.3733582,472220,11.846562385559082
1754401287.0529284,482349,12.193586349487305
1754401302.9770148,484596,12.099559783935547
1754401314.5752943,486262,12.034368515014648
1754401349.5692556,491239,11.599390983581543
1754401414.3085215,500710,11.404674530029297
1754401484.3329089,510713,11.338739395141602
1754401537.1762614,518224,10.84092903137207
1754401581.7395492,524769,11.003630638122559
1754401608.81346,528703,10.461812973022461
1754401610.5831695,528934,10.97628402709961
1754401710.1146297,543277,10.404549598693848
1754401762.9268389,550935,10.325395584106445
1754401810.0594058,557914,10.258683204650879
1754401812.8019264,558341,10.071578025817871
1754401903.24631,571711,9.69913387298584
1754401923.0546262,574441,9.62063217163086
1754401942.9167924,577220,9.399237632751465
1754401951.1442592,578263,9.647602081298828
1754402081.327486,596470,8.699530601501465
1754402088.5603707,597555,8.731749534606934
1754402100.038397,599207,8.391111373901367
1754402130.6333556,603820,8.26365852355957
1754402157.1680725,607663,8.336827278137207
1754402231.0665314,618604,8.373505592346191
1754402249.6899462,621306,8.023161888122559
1754402369.074236,638946,7.5702900886535645
1754402409.9912477,644847,7.291872024536133
1754402415.1176178,645617,7.5672454833984375
1754402421.9862318,646660,7.382987976074219
1754402430.266905,647899,7.299191951751709
1754402582.3996623,670698,6.941696643829346
1754402587.894436,671538,6.754769802093506
1754402759.9546533,697333,5.968440055847168
1754402769.7601757,698901,5.752200126647949
1754402790.4467142,701897,5.825292110443115
1754402807.0655785,704319,5.854330062866211
1754402884.3825054,715841,5.52800178527832
1754402904.7327898,718970,5.5069499015808105
1754402907.9373112,719439,5.070789813995361
1754402971.7863967,728826,4.759089469909668
1754402998.064859,732641,4.474769115447998
1754403075.958761,744149,4.535772323608398
1754403314.034744,779527,4.515223026275635
1754403337.1846383,783027,4.478001594543457
1754403363.6410766,786926,4.261058330535889
