Wall time,Step,Value
1754398174.7052875,17241,45.588531494140625
1754398258.168771,29981,40.88813018798828
1754398295.5370367,35483,56.83799743652344
1754398300.0191422,36148,52.919456481933594
1754398319.5056715,38969,52.64296340942383
1754398367.1868649,46109,58.72895050048828
1754398402.7015784,51198,63.61432647705078
1754398414.8160684,53025,67.30200958251953
1754398472.035416,61635,72.94184112548828
1754398477.7371793,62524,68.25890350341797
1754398556.2271585,74424,66.55443572998047
1754398567.506409,75992,69.25244903564453
1754398596.9024696,80584,60.89127731323242
1754398754.3629994,104944,70.21533203125
1754398793.1155567,110838,67.3381576538086
1754398795.041175,111076,68.84010314941406
1754398888.0387256,125377,69.8204345703125
1754398896.0233104,126700,69.85954284667969
1754398974.109392,138488,69.7626724243164
1754398980.708595,139419,71.35279846191406
1754399052.6045058,150353,70.97401428222656
1754399081.8854134,154861,70.48161315917969
1754399107.0439336,158592,68.0081787109375
1754399134.8636527,162939,74.2253646850586
1754399190.6904988,171570,76.82957458496094
1754399227.3058693,177317,74.87844848632812
1754399278.0686917,184975,77.18567657470703
1754399279.705489,185241,81.59465789794922
1754399305.2745109,189259,67.84193420410156
1754399341.2219808,194726,75.86914825439453
1754399374.109094,199710,71.41780090332031
1754399385.585945,201425,71.51422119140625
1754399387.5250845,201726,74.1872329711914
1754399459.3221326,212744,76.55179595947266
1754399518.8546834,221725,77.77779388427734
1754399530.5446815,223503,74.31431579589844
1754399574.7399848,230020,73.87203979492188
1754399589.310811,232162,74.5961685180664
1754399669.5789394,244293,75.38371276855469
1754399755.1900747,257229,78.33551025390625
1754399772.9521682,259903,78.4001235961914
1754399788.853978,262276,73.35037231445312
1754399825.4106684,267855,82.10201263427734
1754399980.0413845,290661,80.89646911621094
1754399988.8494618,291977,84.03274536132812
1754400086.4180999,306446,83.93843841552734
1754400112.353701,310296,87.01795196533203
1754400128.8761177,312676,85.02496337890625
1754400145.308439,315084,86.15635681152344
1754400250.1253679,330519,81.90485382080078
1754400314.4034584,340032,88.38530731201172
1754400336.8744845,343434,86.78058624267578
1754400530.8422458,372197,91.78423309326172
1754400674.1157348,393477,84.99307250976562
1754400687.0767448,395276,85.90644073486328
1754400730.7380672,401569,84.16690826416016
1754400740.3766763,402962,90.01011657714844
1754400766.7057464,406889,88.49573516845703
1754400814.1494675,413791,91.0277328491211
1754400851.9448607,419405,89.6901626586914
1754400919.090834,429289,90.63285064697266
1754400945.3777442,433118,95.92005157470703
1754400984.4454005,438781,91.46812438964844
1754400999.7038877,441007,89.23717498779297
1754401049.550162,448084,94.05138397216797
1754401052.0561178,448406,87.0784683227539
1754401109.3222523,456575,89.83887481689453
1754401113.0412788,457107,90.8980712890625
1754401133.7808328,460082,89.20111083984375
1754401218.3733711,472220,93.5764389038086
1754401287.0529406,482349,92.29229736328125
1754401302.9770284,484596,92.04155731201172
1754401314.5753057,486262,98.5465316772461
1754401349.5692692,491239,89.64048767089844
1754401414.308533,500710,95.1668701171875
1754401484.3329182,510713,99.28050994873047
1754401537.1762733,518224,92.51719665527344
1754401581.7395613,524769,89.00232696533203
1754401608.8134694,528703,92.55831146240234
1754401610.5831804,528934,94.01641082763672
1754401710.1146436,543277,92.53013610839844
1754401762.9268496,550935,92.24109649658203
1754401810.0594184,557914,95.69459533691406
1754401812.8019402,558341,93.0152816772461
1754401903.246319,571711,95.67876434326172
1754401923.0546367,574441,93.22913360595703
1754401942.916805,577220,93.7041015625
1754401951.144273,578263,98.59495544433594
1754402081.3274982,596470,92.57514190673828
1754402088.5603824,597555,94.13267517089844
1754402100.038408,599207,93.20268249511719
1754402130.633365,603820,93.58342742919922
1754402157.1680846,607663,96.20311737060547
1754402231.0665433,618604,91.89840698242188
1754402249.6899576,621306,90.47842407226562
1754402369.0742474,638946,89.93944549560547
1754402409.9912586,644847,95.05776977539062
1754402415.1176295,645617,98.11909484863281
1754402421.9862416,646660,94.04689025878906
1754402430.266916,647899,97.32708740234375
1754402582.3996737,670698,91.11900329589844
1754402587.8944473,671538,94.74651336669922
1754402759.9546652,697333,88.02006530761719
1754402769.7601867,698901,89.83794403076172
1754402790.446724,701897,92.13581848144531
1754402807.0655909,704319,97.10830688476562
1754402884.382518,715841,102.15504455566406
1754402904.7328029,718970,94.28843688964844
1754402907.937324,719439,93.51484680175781
1754402971.7864094,728826,102.47329711914062
1754402998.0648687,732641,97.16960144042969
1754403075.9587731,744149,98.48011016845703
1754403314.0347564,779527,95.74897766113281
1754403337.184653,783027,99.11591339111328
