policy,initial_dist,final_dist,is_success,steps_taken,environment,episode,initial_box_x,initial_box_y
SAC,0.6424239905563917,0.012069148768830211,True,11,Real World,0,0.35935706413767443,0.10076386287950417
SAC,0.6064104453448992,0.012192756976073988,True,11,Real World,1,0.3600317043455954,0.2901685015846495
SAC,0.6734342997229497,0.006274346668365852,True,18,Real World,2,0.23571482285386874,0.29407099300665335
SAC,0.5462101510205616,0.052419385093589434,False,51,Real World,3,0.5700514451761335,0.2410027321149814
SAC,0.5724127670312572,0.005830991530411772,True,25,Real World,4,0.43885984311283077,0.15489201718204376
SAC,0.656138647529005,0.011604488839618631,True,22,Real World,5,0.4127704103238988,0.04142991394760371
SAC,0.7481127100881547,0.012150869370452066,True,41,Real World,6,0.3556571410454854,-0.14936928187877835
SAC,0.6130027040717817,0.01051883480359094,True,12,Real World,7,0.441139538593011,-0.30789921493595346
SAC,0.6793210875778818,0.00877528340574839,True,12,Real World,8,0.25536984507158844,-0.29362349470462773
SAC,0.7913655572100823,0.009214512343268847,True,11,Real World,9,0.14942365377316946,-0.27643964387897585
SAC,0.695381642855489,0.009009860951679625,True,23,Simulation,0,0.35935706413767443,0.10076386287950417
SAC,0.7197759086032515,0.009972525384961439,True,49,Simulation,1,0.3600317043455954,0.2901685015846495
SAC,0.8136411138524687,0.009955348648441437,True,22,Simulation,2,0.23571482285386874,0.29407099300665335
SAC,0.6873693333563237,0.1253269853389116,False,51,Simulation,3,0.5700514451761335,0.2410027321149814
SAC,0.6234589464084657,0.02792994549781903,False,51,Simulation,4,0.43885984311283077,0.15489201718204376
SAC,0.6651301896981409,0.028584223951754674,False,51,Simulation,5,0.4127704103238988,0.04142991394760371
SAC,0.7280956672443493,0.008207418750560332,True,22,Simulation,6,0.3556571410454854,-0.14936928187877835
SAC,0.6470405469833271,0.02023936080183002,False,51,Simulation,7,0.441139538593011,-0.30789921493595346
SAC,0.7549180172957507,0.007347667834380617,True,33,Simulation,8,0.25536984507158844,-0.29362349470462773
SAC,0.794878618798064,0.006157384722200951,True,29,Simulation,9,0.14942365377316946,-0.27643964387897585
