policy,initial_dist,final_dist,is_success,steps_taken,environment,episode,initial_box_x,initial_box_y
SAC,0.6683787814105723,0.009235535639695206,True,25,Simulation,0,0.3657579421354461,-0.21587505353128658
SAC,0.937097511222753,0.009751012576031374,True,36,Simulation,1,0.030536204475677158,-0.48415731150534735
SAC,1.049056703466821,0.009875528739341116,True,24,Simulation,2,-0.12126225294298186,-0.4439178725329873
SAC,0.9708960160855166,0.010140415112625804,True,14,Simulation,3,-0.03756942618196477,-0.3810849668962145
SAC,0.7278849516469071,0.009999891285090889,True,15,Simulation,4,0.27932223084790314,0.25363895282570936
SAC,1.0797381546563223,0.00849824136710997,True,21,Simulation,5,-0.259358528104812,0.3481377663226498
SAC,0.6659272408997746,0.008516180819222103,True,18,Simulation,6,0.4261452556459474,-0.06148550276410027
SAC,0.7231423897080451,0.009298285771413733,True,24,Simulation,7,0.2783493954433273,0.1620306695275077
SAC,1.0640536829486786,0.00829460361134755,True,26,Simulation,8,-0.20637351806246024,0.38262490597389315
SAC,1.0865621040166114,0.007814551794305916,True,32,Simulation,9,-0.3485580909533543,0.07512179353150529
SAC,1.1967331461081547,0.009979148422543363,True,31,Simulation,10,-0.14134122398220264,0.4514100834307365
SAC,1.0661394140964935,0.011650511182258278,True,26,Simulation,11,-0.19553344483907945,0.26129914370174356
SAC,0.9310911781452992,0.007643552930816312,True,13,Simulation,12,0.11119880998279569,0.30994458178963535
SAC,0.7792013374828055,0.005615795239197803,True,23,Simulation,13,0.06060417762615823,-0.4099954293603934
SAC,1.04035450675162,0.011780653725599803,True,33,Simulation,14,-0.20181649819892705,-0.3854497488587268
SAC,0.9836881286426092,0.004983950459239498,True,21,Simulation,15,0.12398603570100188,-0.3642474335745713
SAC,1.1715602534842742,0.009330845322306944,True,30,Simulation,16,-0.3765919716532357,0.2906198199426263
SAC,0.8598399914050809,0.011575036171480672,True,31,Simulation,17,-0.1927822642596198,-0.43883074417176704
SAC,0.7318853191725552,0.00801237467506463,True,17,Simulation,18,0.1542739185865522,0.362377221158284
SAC,1.1992353199921044,0.010871914503859836,True,36,Simulation,19,-0.43664036222553787,0.14931183867070208
SAC,0.14738191651269134,0.04463199774887405,False,51,Simulation,20,0.4550470635646739,-0.322005027001559
SAC,1.0625887994246817,0.005672115374631778,True,28,Simulation,21,-0.25116017840104726,0.22066353550507986
SAC,1.2252172416557,0.010423001053430673,True,39,Simulation,22,-0.4746502566874237,0.11685883834599797
SAC,0.18237125278640456,0.012589302310446158,True,44,Simulation,23,0.3717178501812142,-0.3393971404713153
SAC,0.6072670253010435,0.007833499349879683,True,12,Simulation,24,0.40769626126886443,-0.050796041493957486
SAC,0.7249273186713022,0.00964251068849248,True,27,Simulation,25,0.20717702646475464,0.23275711435314533
SAC,0.7778793309434809,0.008992296617848778,True,13,Simulation,26,0.24778104383146746,-0.30854220312279673
SAC,1.0479629544302487,0.009330359331837887,True,38,Simulation,27,-0.2560306648714351,-0.16414468353417863
SAC,0.14491824644771603,0.015444922838260863,False,51,Simulation,28,0.41496969509865506,0.3687128716587724
SAC,0.8294279428746838,0.006839974580058698,True,13,Simulation,29,0.15841420371692,-0.3043412618593747
SAC,1.0586819585485672,0.010034185907529117,True,26,Simulation,30,-0.23468638058077676,0.23304612622076254
SAC,1.0571141013048353,0.007127092079130272,True,36,Simulation,31,-0.4027205162093661,-0.024676391619094257
SAC,0.12872554238041983,0.010031045315717996,True,25,Simulation,32,0.3934760466750864,0.5
SAC,1.1656596001162722,0.009833049322452514,True,42,Simulation,33,-0.4097514997684,0.023737434187291465
SAC,0.1558383986406158,0.015042400714651825,False,51,Simulation,34,0.36137789255223596,-0.4241165727185924
SAC,1.1502158547151171,0.004743647465383371,True,36,Simulation,35,-0.39398628895661075,0.04983454729083461
SAC,0.19489800252397418,0.030654556026123485,False,51,Simulation,36,0.32294246138189076,-0.3656417883793627
SAC,1.1286633167130282,0.004628568369248493,True,35,Simulation,37,-0.4012131966806114,0.13580882922706308
SAC,0.8448558786667445,0.006339299828840184,True,14,Simulation,38,0.23941865320914768,0.2977883760060944
SAC,0.6410147727196791,0.010949008752426586,True,16,Simulation,39,0.48996964123985826,-0.04645470090578932
SAC,0.6741290494433244,0.009417089307084807,True,14,Simulation,40,0.353019753644618,-0.09299119281673054
SAC,0.5897229753923744,0.012729484191274468,True,25,Simulation,41,0.41537341206773676,0.12718724639068216
SAC,0.9641556089339129,0.006587224101479565,True,23,Simulation,42,-0.1510669832724562,0.3652906398153274
SAC,0.6331104594325296,0.007186074922355233,True,29,Simulation,43,0.37757761870005896,0.25871367248896054
SAC,0.48548348311576395,0.04596983433361197,False,51,Simulation,44,0.4781630559152874,0.015367323346432307
SAC,1.1142293703442196,0.009667950488945224,True,33,Simulation,45,-0.3118596702416472,-0.274574096094897
SAC,0.13299084412035267,0.011532239302580497,True,42,Simulation,46,0.4002148761256945,0.3953353664544524
SAC,1.2181669364895098,0.00797384777158035,True,39,Simulation,47,-0.4587299480222092,-0.14398746129311957
SAC,0.9934488756854782,0.011335054551241893,True,27,Simulation,48,-0.3851607725775301,0.008795058282675666
SAC,0.11301779962283268,0.09579936729863191,False,51,Simulation,49,0.4456903733796257,-0.4964953002895871
SAC,1.174900471598493,0.009315124013876557,True,50,Simulation,50,-0.42431913348910644,0.0037493573496237627
SAC,0.18814917589577254,0.009601907907111072,True,28,Simulation,51,0.36150410411921174,-0.36560037991591343
SAC,1.0023490262488715,0.010218551345775904,True,30,Simulation,52,-0.24301211119531033,-0.2142229743671084
SAC,1.1099631307515965,0.021092025927728526,False,51,Simulation,53,-0.47388657474092827,0.0032480972879784875
SAC,0.14203667328696606,0.023336134405913762,False,51,Simulation,54,0.38307641684396104,-0.5
SAC,0.6776798042581464,0.012693342598833816,True,21,Simulation,55,0.32283953117881203,0.012892543593871552
SAC,0.6627887655438547,0.008363772369852501,True,21,Simulation,56,0.334515821849391,-0.2669968171028063
SAC,1.025037375754949,0.008736946621246964,True,26,Simulation,57,-0.24006311064961847,0.3242700248994731
SAC,0.99595180399993,0.006672204503097808,True,30,Simulation,58,-0.2303334579703242,-0.3016153713070165
SAC,0.7869809050517198,0.00889098764275346,True,18,Simulation,59,0.3397143661335008,-0.11704155665466195
SAC,0.8220236743844387,0.013092105069397505,True,17,Simulation,60,0.139741685191299,0.4627040532114644
SAC,0.5750485959734956,0.00857209437067942,True,34,Simulation,61,0.32824599293246143,0.21034278069268958
SAC,0.9346248739053318,0.010390743672454463,True,26,Simulation,62,-0.03910852441816972,-0.3676824946762397
SAC,0.5766657013587714,0.010475926873351072,True,32,Simulation,63,0.33558483761954233,0.18561513047432177
SAC,1.0536470798563642,0.012406089977297186,True,40,Simulation,64,-0.3467163280194078,-0.05923801305855899
SAC,0.15953944335941256,0.009108792623284885,True,42,Simulation,65,0.2934146547610144,0.5
SAC,1.0713032438939074,0.009220689752874742,True,25,Simulation,66,-0.34332740101985465,-0.3543921029725412
SAC,0.1929443368471877,0.053443528873310636,False,51,Simulation,67,0.40093612084480745,0.2658225634559249
SAC,0.813145381608453,0.008958948171209319,True,27,Simulation,68,-0.0020279420551559757,-0.354530823632359
SAC,0.6947797982358107,0.0038895119280712904,True,20,Simulation,69,0.30622156775811343,-0.08537018090256689
SAC,1.1235896502794176,0.009127208175446077,True,44,Simulation,70,-0.3579544324178267,0.0007292143186868115
SAC,0.16566677990530884,0.012213419761325568,True,40,Simulation,71,0.3487515591489129,-0.4397523146070761
SAC,0.8418296363543498,0.0032416273148797655,True,15,Simulation,72,0.10318926989587657,-0.2878851311123046
SAC,0.758746228827985,0.0026921840907728873,True,17,Simulation,73,0.27817056583440586,0.2618992529962999
SAC,0.8802062692766789,0.003029485462376561,True,15,Simulation,74,0.09308504791182641,-0.3641625249880897
SAC,1.0002763741024312,0.011624401105312453,True,42,Simulation,75,-0.3266393253839892,0.07417008662218537
SAC,0.15154200349114136,0.011297099636101385,True,34,Simulation,76,0.38193221861086235,-0.45343557017266806
SAC,1.0538661401495706,0.011747808823445399,True,33,Simulation,77,-0.2680561982251792,-0.15153386713132985
SAC,0.19080647805500223,0.13247049375630632,False,51,Simulation,78,0.24272169237333263,0.3837097417719071
SAC,1.030815510849825,0.008665197487384401,True,34,Simulation,79,-0.3330289857699001,-0.035650006283645515
SAC,0.15252498706032228,0.013259885743106594,True,34,Simulation,80,0.40591000333758914,0.473143321561605
SAC,1.0250109332873723,0.010961320400831535,True,22,Simulation,81,-0.31718763442063436,-0.037192998885346114
SAC,1.0135314363915782,0.005064476334100495,True,34,Simulation,82,-0.4341819538292621,0.014018741968501468
SAC,0.13634444492628084,0.020381684513719217,False,51,Simulation,83,0.5,-0.3022293679120935
SAC,0.8977112120227335,0.006731069387937935,True,21,Simulation,84,0.04876316206392759,0.36175180625268755
SAC,0.9549496329669309,0.009599160997338211,True,28,Simulation,85,-0.18825891952908186,-0.3255533678434452
