policy,initial_dist,final_dist,is_success,steps_taken,environment,episode,initial_box_x,initial_box_y
SAC,0.673826975875096,0.02911020650245018,False,51,Real World,0,0.16505532663084743,0.2350334333926422
SAC,0.6101186733997646,0.12089022695255296,False,51,Real World,1,0.17478945702436355,0.07134120055272736
SAC,0.6018635609077897,0.014496265654226445,True,38,Real World,2,0.3242313898827371,0.0550061252256105
SAC,0.5324705753075665,0.030815810404099107,False,51,Real World,3,0.44735756228574786,0.21103424052957925
SAC,0.605348512433155,0.03291959670616918,False,51,Real World,4,0.3773476108960854,0.3204166513888122
SAC,0.5432654363197387,0.024392660212164522,False,51,Real World,5,0.43925057611991436,-0.10090027186124623
SAC,0.45794008555429006,0.009190004604063854,True,17,Real World,6,0.46511837228801756,-0.26431947328748345
SAC,0.5505246878265208,0.020983933191540752,False,51,Real World,7,0.3589726391804371,-0.2736065147654834
SAC,0.5756020044446889,0.028334703432506336,False,51,Real World,8,0.25843953027136773,-0.16857805851222968
SAC,0.520802172198073,0.017036206213441908,False,51,Real World,9,0.3230058913477326,-0.13365531885718857
SAC,0.7629467541549819,0.07273067262578957,False,51,Simulation,0,0.16505532663084743,0.2350334333926422
SAC,0.7437118089364774,0.2450101028663627,False,51,Simulation,1,0.17478945702436355,0.07134120055272736
SAC,0.6164209979732822,0.06163592342513118,False,51,Simulation,2,0.3242313898827371,0.0550061252256105
SAC,0.6697841484884178,0.05527084081571236,False,51,Simulation,3,0.44735756228574786,0.21103424052957925
SAC,0.7123286276088263,0.056514085768561546,False,51,Simulation,4,0.3773476108960854,0.3204166513888122
SAC,0.6062636087056069,0.04872073451128624,False,51,Simulation,5,0.43925057611991436,-0.10090027186124623
SAC,0.6999681983841204,0.060175773860148,False,51,Simulation,6,0.46511837228801756,-0.26431947328748345
SAC,0.6607259106090568,0.05550737913246929,False,51,Simulation,7,0.3589726391804371,-0.2736065147654834
SAC,0.6580571577642207,0.056601119100497574,False,51,Simulation,8,0.25843953027136773,-0.16857805851222968
SAC,0.6122480704549356,0.05497356078704479,False,51,Simulation,9,0.3230058913477326,-0.13365531885718857
